\\Hourly Demand Report,,,
\\Created at 2021-01-31 07:30:13,,,
\\For 2020,,,
Date,Hour,Market Demand,Ontario Demand
2020-01-01,1,16565,13219
2020-01-01,2,16193,12895
2020-01-01,3,16072,12554
2020-01-01,4,15930,12360
2020-01-01,5,15963,12353
2020-01-01,6,16057,12458
2020-01-01,7,16249,12729
2020-01-01,8,16498,13180
2020-01-01,9,16686,13406
2020-01-01,10,16973,13765
2020-01-01,11,17340,14078
2020-01-01,12,17537,14373
2020-01-01,13,17756,14495
2020-01-01,14,17764,14513
2020-01-01,15,17857,14690
2020-01-01,16,17162,14753
2020-01-01,17,17654,15490
2020-01-01,18,18537,16324
2020-01-01,19,18574,16208
2020-01-01,20,18332,15911
2020-01-01,21,18314,15535
2020-01-01,22,18638,15222
2020-01-01,23,17964,14426
2020-01-01,24,17201,13698
2020-01-02,1,16449,12996
2020-01-02,2,16373,12662
2020-01-02,3,16031,12435
2020-01-02,4,15872,12365
2020-01-02,5,16082,12481
2020-01-02,6,16587,12940
2020-01-02,7,17671,13999
2020-01-02,8,19065,15238
2020-01-02,9,19484,15655
2020-01-02,10,19585,15819
2020-01-02,11,19086,15839
2020-01-02,12,19024,15846
2020-01-02,13,18568,15685
2020-01-02,14,19147,15926
2020-01-02,15,19114,15932
2020-01-02,16,19113,16048
2020-01-02,17,19141,16846
2020-01-02,18,19784,17621
2020-01-02,19,19768,17331
2020-01-02,20,19623,17099
2020-01-02,21,19173,16784
2020-01-02,22,18611,16005
2020-01-02,23,18223,15145
2020-01-02,24,17277,14154
2020-01-03,1,16372,13369
2020-01-03,2,16181,12976
2020-01-03,3,15810,12588
2020-01-03,4,15853,12570
2020-01-03,5,16420,12759
2020-01-03,6,16798,13419
2020-01-03,7,16773,14323
2020-01-03,8,17414,15321
2020-01-03,9,17897,15941
2020-01-03,10,17624,16053
2020-01-03,11,18203,16339
2020-01-03,12,18034,16358
2020-01-03,13,18700,16684
2020-01-03,14,18644,16744
2020-01-03,15,18323,16516
2020-01-03,16,18446,16491
2020-01-03,17,18943,16991
2020-01-03,18,19776,17675
2020-01-03,19,19422,17228
2020-01-03,20,19160,16918
2020-01-03,21,18590,16669
2020-01-03,22,18078,16091
2020-01-03,23,17147,15254
2020-01-03,24,16388,14304
2020-01-04,1,16073,13670
2020-01-04,2,15942,13237
2020-01-04,3,15583,12942
2020-01-04,4,15651,12814
2020-01-04,5,15610,12814
2020-01-04,6,15984,13030
2020-01-04,7,16248,13623
2020-01-04,8,16696,14289
2020-01-04,9,17290,14854
2020-01-04,10,17811,15432
2020-01-04,11,18313,15880
2020-01-04,12,19004,16125
2020-01-04,13,19023,16131
2020-01-04,14,18780,16123
2020-01-04,15,18824,16082
2020-01-04,16,19010,16139
2020-01-04,17,19659,16640
2020-01-04,18,20309,17273
2020-01-04,19,20004,16885
2020-01-04,20,19638,16579
2020-01-04,21,19243,16251
2020-01-04,22,18718,15788
2020-01-04,23,17774,15023
2020-01-04,24,17073,14213
2020-01-05,1,17067,13678
2020-01-05,2,17138,13156
2020-01-05,3,16853,12831
2020-01-05,4,17164,12827
2020-01-05,5,17015,12822
2020-01-05,6,17168,12994
2020-01-05,7,16897,13468
2020-01-05,8,16862,13991
2020-01-05,9,17097,14406
2020-01-05,10,17559,14727
2020-01-05,11,17630,14913
2020-01-05,12,17804,14979
2020-01-05,13,18123,15208
2020-01-05,14,18507,15412
2020-01-05,15,18812,15750
2020-01-05,16,18988,15992
2020-01-05,17,19492,16846
2020-01-05,18,20677,17885
2020-01-05,19,20700,17617
2020-01-05,20,20547,17288
2020-01-05,21,20094,16853
2020-01-05,22,19499,16207
2020-01-05,23,18616,15354
2020-01-05,24,18268,14477
2020-01-06,1,18079,13928
2020-01-06,2,17963,13629
2020-01-06,3,17719,13484
2020-01-06,4,17792,13454
2020-01-06,5,17828,13602
2020-01-06,6,17906,14206
2020-01-06,7,18635,15539
2020-01-06,8,20196,16992
2020-01-06,9,20243,17125
2020-01-06,10,20168,17055
2020-01-06,11,20222,16949
2020-01-06,12,19842,16846
2020-01-06,13,19684,16738
2020-01-06,14,19692,16548
2020-01-06,15,19497,16419
2020-01-06,16,19767,16723
2020-01-06,17,20833,17668
2020-01-06,18,22021,18680
2020-01-06,19,21367,18368
2020-01-06,20,21199,18196
2020-01-06,21,20134,17817
2020-01-06,22,19766,17122
2020-01-06,23,18724,16078
2020-01-06,24,17914,14881
2020-01-07,1,17202,14347
2020-01-07,2,17177,14010
2020-01-07,3,16608,13781
2020-01-07,4,16643,13867
2020-01-07,5,16639,14074
2020-01-07,6,17245,14606
2020-01-07,7,18854,15931
2020-01-07,8,19690,17335
2020-01-07,9,19963,17547
2020-01-07,10,19789,17363
2020-01-07,11,19599,17155
2020-01-07,12,19720,16869
2020-01-07,13,19163,16508
2020-01-07,14,18633,16333
2020-01-07,15,18913,16439
2020-01-07,16,19431,16715
2020-01-07,17,20354,17399
2020-01-07,18,21012,18266
2020-01-07,19,21349,18118
2020-01-07,20,21208,18010
2020-01-07,21,20820,17686
2020-01-07,22,20278,16970
2020-01-07,23,19134,16024
2020-01-07,24,18605,14916
2020-01-08,1,18269,14222
2020-01-08,2,17423,13877
2020-01-08,3,17717,13682
2020-01-08,4,17839,13733
2020-01-08,5,17999,13914
2020-01-08,6,18314,14500
2020-01-08,7,18748,15743
2020-01-08,8,20466,17297
2020-01-08,9,20417,17549
2020-01-08,10,20510,17465
2020-01-08,11,20526,17360
2020-01-08,12,20088,17291
2020-01-08,13,20320,17134
2020-01-08,14,20167,17035
2020-01-08,15,19713,17162
2020-01-08,16,20433,17606
2020-01-08,17,21196,18465
2020-01-08,18,21888,19597
2020-01-08,19,22118,19786
2020-01-08,20,21947,19688
2020-01-08,21,21568,19503
2020-01-08,22,20430,18598
2020-01-08,23,19083,17607
2020-01-08,24,18029,16503
2020-01-09,1,17652,15786
2020-01-09,2,17664,15456
2020-01-09,3,17554,15165
2020-01-09,4,17702,15115
2020-01-09,5,18189,15348
2020-01-09,6,18630,15751
2020-01-09,7,19843,16969
2020-01-09,8,20690,18288
2020-01-09,9,21101,18448
2020-01-09,10,20720,17980
2020-01-09,11,20470,17776
2020-01-09,12,20310,17618
2020-01-09,13,20543,17638
2020-01-09,14,21212,17858
2020-01-09,15,21472,17896
2020-01-09,16,21440,18289
2020-01-09,17,21888,18887
2020-01-09,18,22831,19758
2020-01-09,19,22517,19587
2020-01-09,20,22134,19294
