\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2023-01-31 08:01:27,,,,,,,,,,,,,,
\\For 2022,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2022-01-01,1,13543,654,1297,870,843,4553,924,97,2478,407,1486,13608,65
2022-01-01,2,13254,650,1259,833,805,4370,878,93,2388,389,1489,13154,-100
2022-01-01,3,12683,599,1203,806,782,4200,844,93,2336,375,1476,12716,32
2022-01-01,4,12491,559,1268,794,775,4107,825,93,2292,368,1462,12542,51
2022-01-01,5,12493,567,1271,792,773,4057,815,94,2289,392,1477,12528,34
2022-01-01,6,12586,566,1258,803,793,4065,823,94,2293,375,1556,12626,40
2022-01-01,7,12772,573,1220,828,820,4136,837,90,2324,387,1615,12830,58
2022-01-01,8,12915,588,1178,858,859,4258,876,96,2438,427,1635,13213,298
2022-01-01,9,13265,606,1214,882,901,4368,918,102,2483,445,1652,13572,307
2022-01-01,10,13861,634,1243,925,929,4543,986,107,2570,451,1682,14069,208
2022-01-01,11,14626,638,1276,960,981,4789,1048,110,2639,463,1721,14625,-1
2022-01-01,12,15060,640,1292,984,1010,5015,1089,111,2777,483,1731,15131,71
2022-01-01,13,15620,651,1313,998,1032,5184,1121,109,2870,490,1755,15523,-96
2022-01-01,14,15540,642,1304,999,1027,5233,1135,107,2855,488,1778,15568,27
2022-01-01,15,15465,637,1307,1008,1038,5234,1142,106,2889,485,1779,15625,160
2022-01-01,16,15615,635,1322,1020,1056,5275,1161,108,2960,492,1799,15828,214
2022-01-01,17,16234,652,1359,1090,1120,5457,1224,107,3061,510,1838,16419,185
2022-01-01,18,16955,672,1387,1145,1151,5716,1318,107,3150,529,1805,16979,24
2022-01-01,19,16581,669,1379,1120,1091,5676,1292,106,3167,513,1729,16741,160
2022-01-01,20,16327,660,1381,1081,1056,5580,1256,107,3125,493,1659,16397,70
2022-01-01,21,16013,654,1380,1052,1031,5502,1218,108,3034,472,1598,16049,36
2022-01-01,22,15409,646,1431,1019,994,5383,1163,103,2953,457,1497,15647,238
2022-01-01,23,14813,637,1414,974,932,5191,1098,101,2799,441,1415,15001,188
2022-01-01,24,14173,623,1399,925,884,4937,1028,100,2659,411,1388,14354,182
2022-01-02,1,13839,615,1381,881,857,4722,978,96,2601,395,1389,13916,77
2022-01-02,2,13536,612,1382,857,838,4548,948,95,2514,385,1398,13576,41
2022-01-02,3,13318,613,1381,841,846,4423,940,96,2451,376,1406,13372,55
2022-01-02,4,13292,612,1377,845,868,4365,937,94,2454,382,1422,13355,62
2022-01-02,5,13330,611,1389,864,875,4360,944,95,2468,382,1446,13434,105
