\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,,,
\\For 2002,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2002-10-04,1,31.71,23.67,20.33,23.32,24.39,28.07,28.32,33.03,31.4,32.03,29.92,31.09,31.37,32.03,31.43
2002-10-04,2,33.3,24.85,21.35,24.49,26.89,29.47,29.74,34.69,32.97,33.64,31.42,32.65,32.94,33.64,33
2002-10-04,3,31.25,23.32,20.03,22.98,28.9,27.65,27.9,32.55,30.94,31.57,29.48,30.64,30.91,31.57,30.97
2002-10-04,4,31.41,23.44,20.14,23.1,26.59,27.8,28.05,32.72,31.1,31.73,29.63,30.8,31.07,31.73,31.13
2002-10-04,5,31.78,23.72,20.37,23.37,24.44,28.12,28.37,33.1,31.46,32.1,29.98,31.16,31.43,32.1,31.49
2002-10-04,6,72.27,52.02,44.68,51.25,49.17,63.95,64.53,75.28,71.55,73,68.18,70.85,71.48,73,71.62
2002-10-04,7,120.42,77.03,66.16,75.89,53.99,106.56,107.52,125.44,119.23,121.64,113.6,118.06,119.11,121.64,119.34
2002-10-04,8,136.17,84.93,72.95,83.68,56.02,120.51,121.59,141.85,134.83,137.55,128.46,133.5,134.69,137.55,134.96
2002-10-04,9,78.16,36.09,31,35.56,53.87,69.17,69.79,81.42,77.39,78.95,73.74,76.63,77.31,78.95,77.46
2002-10-04,10,75.98,26.95,23.15,26.56,53.91,67.24,67.84,79.14,75.22,76.74,71.68,74.49,75.15,76.74,75.3
2002-10-04,11,76.38,26.46,22.73,26.07,53.94,67.6,68.2,79.56,75.62,77.15,72.06,74.88,75.55,77.15,75.7
2002-10-04,12,58.85,27.12,23.3,26.72,43.89,52.08,52.54,61.3,58.27,59.44,55.52,57.69,58.21,59.44,58.32
2002-10-04,13,90.32,26.43,22.7,26.04,-84.51,79.93,80.64,94.08,89.42,91.23,85.2,88.55,89.33,91.23,89.51
2002-10-04,14,66.97,29.65,25.47,29.21,-84.41,59.27,59.8,69.76,66.3,67.65,63.18,65.66,66.24,67.65,66.37
2002-10-04,15,76.12,37.35,32.08,36.8,-84.43,67.36,67.97,79.29,75.37,76.89,71.81,74.63,75.29,76.89,75.44
2002-10-04,16,72.23,29.09,24.99,28.66,-84.43,63.92,64.48,75.23,71.51,72.96,68.14,70.81,71.44,72.96,71.58
2002-10-04,17,80.99,33.94,29.16,33.45,-97.57,71.67,72.31,84.36,80.19,81.81,76.4,79.4,80.11,81.81,80.27
2002-10-04,18,121.37,35.66,30.63,35.14,-87.35,107.41,108.37,126.43,120.17,122.6,114.5,118.99,120.05,122.6,120.29
2002-10-04,19,295.69,27.41,23.55,27.01,-90.38,261.67,264.01,308.01,292.76,298.67,278.95,289.89,292.47,298.67,293.05
2002-10-04,20,77.29,35.01,30.07,34.49,-97.61,68.4,69.01,80.51,76.53,78.07,72.92,75.77,76.45,78.07,76.6
2002-10-04,21,70.41,52.24,44.87,51.47,51.94,62.31,62.87,73.35,69.71,71.12,66.43,69.03,69.65,71.12,69.78
2002-10-04,22,55.88,41.39,35.55,40.78,41.82,49.45,49.89,58.21,55.32,56.44,52.72,54.78,55.27,56.44,55.38
2002-10-04,23,58.67,43.65,37.5,43.01,42.77,51.92,52.38,61.11,58.08,59.26,55.35,57.51,58.03,59.26,58.14
2002-10-04,24,32.56,23.21,20.87,23.94,25.05,28.81,29.07,33.91,32.23,32.89,30.71,31.92,32.2,32.89,32.26
2002-10-05,1,35.89,26.78,23.01,26.39,27.61,31.76,32.04,37.38,35.53,36.25,33.86,35.18,35.5,36.25,35.57
2002-10-05,2,52.1,38.68,33.22,38.11,39.5,46.11,46.52,54.27,51.59,52.63,49.15,51.08,51.54,52.63,51.64
2002-10-05,3,50.54,37.45,32.17,36.9,37.82,44.73,45.13,52.65,50.04,51.05,47.68,49.55,49.99,51.05,50.09
2002-10-05,4,29.64,22.12,19,21.79,22.8,26.23,26.47,30.88,29.35,29.94,27.97,29.06,29.32,29.94,29.38
2002-10-05,5,28.75,21.45,18.43,21.14,22.11,25.44,25.67,29.95,28.46,29.04,27.12,28.18,28.43,29.04,28.49
2002-10-05,6,39.03,29.13,25.02,28.7,30.02,34.54,34.85,40.66,38.64,39.42,36.82,38.26,38.61,39.42,38.68
2002-10-05,7,48.16,35.94,30.87,35.42,37.05,42.62,43,50.17,47.69,48.65,45.44,47.22,47.64,48.65,47.73
2002-10-05,8,53.05,39.46,33.89,38.88,40.44,46.94,47.36,55.26,52.52,53.58,50.04,52.01,52.47,53.58,52.57
2002-10-05,9,91.63,61.18,52.55,60.28,53.28,81.09,81.81,95.45,90.72,92.56,86.44,89.83,90.64,92.56,90.82
2002-10-05,10,69.93,52.16,44.8,51.39,53.71,61.89,62.44,72.85,69.24,70.64,65.98,68.56,69.17,70.64,69.31
2002-10-05,11,69.68,51.98,44.65,51.22,53.55,61.66,62.22,72.58,68.99,70.39,65.74,68.32,68.92,70.39,69.06
2002-10-05,12,67.53,50.02,42.97,49.29,53.24,59.77,60.3,70.35,66.87,68.22,63.71,66.21,66.8,68.22,66.93
2002-10-05,13,34.67,19.53,16.77,19.24,48.3,30.68,30.96,36.12,34.33,35.02,32.71,33.99,34.29,35.02,34.36
2002-10-05,14,36.39,25.1,21.56,24.73,35.01,32.2,32.49,37.91,36.03,36.76,34.33,35.68,36,36.76,36.07
2002-10-05,15,44.47,31.27,26.86,30.81,40.76,39.36,39.71,46.33,44.03,44.92,41.96,43.6,43.99,44.92,44.08
2002-10-05,16,34.47,20.31,17.44,20.01,44.97,30.5,30.77,35.9,34.12,34.81,32.52,33.79,34.09,34.81,34.16
2002-10-05,17,35.78,21.44,18.42,21.13,45.44,31.67,31.95,37.28,35.43,36.15,33.76,35.08,35.39,36.15,35.46
2002-10-05,18,29.07,18.5,15.89,18.23,33.21,25.72,25.95,30.27,28.77,29.36,27.42,28.49,28.75,29.36,28.8
