\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2023-01-31 08:01:49,,,,,,,,,,,,,,,,
\\For 2022,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2022-01-01,1,29.53,24.82,24.21,,27.35,28.67,28.13,29.24,28.95,29.24,29.24,28.67,29.53,28.95,29.53
2022-01-01,2,64.28,54.01,149.92,,126.29,62.41,61.22,63.64,63.02,63.64,63.64,62.41,64.28,63.02,64.28
2022-01-01,3,16.15,13.57,13.24,,14.95,15.68,15.38,15.99,15.83,15.99,15.99,15.68,16.15,15.83,16.15
2022-01-01,4,14.63,12.29,11.99,,13.55,14.20,13.93,14.48,14.34,14.48,14.48,14.20,14.63,14.34,14.63
2022-01-01,5,1.12,0.94,0.97,,1.07,1.09,1.07,1.11,1.10,1.11,1.11,1.09,1.12,1.10,1.12
2022-01-01,6,14.63,12.29,11.99,,13.54,14.20,13.93,14.48,14.34,14.48,14.48,14.20,14.63,14.34,14.63
2022-01-01,7,7.83,6.58,8.45,,7.71,7.60,7.46,7.75,7.68,7.75,7.75,7.60,7.83,7.68,7.83
2022-01-01,8,4.91,4.49,12.89,,6.56,4.77,4.68,4.86,4.82,4.86,4.86,4.77,4.91,4.82,4.91
2022-01-01,9,0.00,11.29,39.85,,9.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022-01-01,10,7.83,7.32,63.66,,25.63,7.60,7.46,7.76,7.68,7.76,7.76,7.60,7.83,7.68,7.83
2022-01-01,11,33.07,30.55,24.56,,31.12,32.11,31.50,32.75,32.43,32.75,32.75,32.11,33.07,32.43,33.07
2022-01-01,12,38.14,32.05,31.26,,35.31,37.03,36.32,37.76,37.39,37.76,37.76,37.03,38.14,37.39,38.14
2022-01-01,13,36.47,73.03,268.83,,102.09,35.41,34.73,36.11,35.76,36.11,36.11,35.41,36.47,35.76,36.47
2022-01-01,14,19.35,19.63,19.73,,18.80,18.78,18.43,19.16,18.97,19.16,19.16,18.78,19.35,18.97,19.35
2022-01-01,15,12.50,10.51,16.02,,12.89,12.14,11.91,12.38,12.26,12.38,12.38,12.14,12.50,12.26,12.50
2022-01-01,16,3.04,8.91,17.41,,6.20,2.95,2.89,3.01,2.98,3.01,3.01,2.95,3.04,2.98,3.04
2022-01-01,17,18.72,15.82,15.43,,17.38,18.17,17.83,18.53,18.35,18.53,18.53,18.17,18.72,18.35,18.72
2022-01-01,18,27.19,22.85,22.28,,25.17,26.39,25.89,26.92,26.65,26.92,26.92,26.39,27.19,26.65,27.19
2022-01-01,19,23.71,19.92,19.43,,21.95,23.02,22.58,23.47,23.24,23.47,23.47,23.02,23.71,23.24,23.71
2022-01-01,20,29.57,24.85,24.24,,27.38,28.71,28.16,29.28,28.99,29.28,29.28,28.71,29.57,28.99,29.57
2022-01-01,21,17.77,14.93,14.56,,16.45,17.25,16.92,17.59,17.42,17.59,17.59,17.25,17.77,17.42,17.77
2022-01-01,22,10.12,8.50,8.68,,9.60,9.82,9.63,10.02,9.92,10.02,10.02,9.82,10.12,9.92,10.12
2022-01-01,23,8.63,7.25,19.62,,10.84,8.38,8.22,8.55,8.46,8.55,8.55,8.38,8.63,8.46,8.63
2022-01-01,24,5.58,4.69,260.64,,145.97,5.42,5.31,5.52,5.47,5.52,5.52,5.42,5.58,5.47,5.58
2022-01-02,1,10.67,24.34,23.75,,18.86,10.36,10.16,10.56,10.46,10.56,10.56,10.36,10.67,10.46,10.67
2022-01-02,2,17.45,14.66,14.30,,16.15,16.94,16.61,17.27,17.10,17.27,17.27,16.94,17.45,17.10,17.45
2022-01-02,3,10.59,8.90,8.68,,9.80,10.28,10.08,10.48,10.38,10.48,10.48,10.28,10.59,10.38,10.59
2022-01-02,4,10.75,19.29,38.78,,27.89,10.43,10.23,10.64,10.54,10.64,10.64,10.43,10.75,10.54,10.75
2022-01-02,5,10.57,8.88,43.72,,30.78,10.26,10.07,10.47,10.36,10.47,10.47,10.26,10.57,10.36,10.57
2022-01-02,6,10.60,8.91,8.69,,9.82,10.29,10.10,10.50,10.39,10.50,10.50,10.29,10.60,10.39,10.60
2022-01-02,7,0.88,2.52,6.45,,4.24,0.85,0.84,0.87,0.86,0.87,0.87,0.85,0.88,0.86,0.88
2022-01-02,8,0.00,1.49,10.08,,6.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022-01-02,9,2.46,3.69,6.51,,4.97,2.39,2.34,2.43,2.41,2.43,2.43,2.39,2.46,2.41,2.46
2022-01-02,10,16.97,27.54,30.44,,25.61,16.47,16.16,16.80,16.64,16.80,16.80,16.47,16.97,16.64,16.97
2022-01-02,11,12.20,10.25,10.00,,11.30,11.85,11.62,12.08,11.96,12.08,12.08,11.85,12.20,11.96,12.20
2022-01-02,12,10.33,13.70,31.53,,14.80,10.03,9.84,10.23,10.13,10.23,10.23,10.03,10.33,10.13,10.33
2022-01-02,13,12.98,20.04,20.27,,16.00,12.60,12.37,12.85,12.73,12.85,12.85,12.60,12.98,12.73,12.98
2022-01-02,14,10.46,21.38,264.46,,122.58,10.16,9.97,10.36,10.26,10.36,10.36,10.16,10.46,10.26,10.46
