\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2025-05-01 08:00:15,,,,,,,,
\\For 2025,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2025-01-01,1,21.31,20.40,40.39,40.41,0.98,0.16,0.16
2025-01-01,2,26.23,26.00,26.00,40.40,1.00,0.16,0.16
2025-01-01,3,32.00,36.48,36.48,25.36,1.27,0.16,0.16
2025-01-01,4,13.03,35.37,27.13,14.41,1.19,0.15,0.15
2025-01-01,5,14.40,22.22,20.40,14.38,1.11,0.15,0.15
2025-01-01,6,14.36,23.85,23.85,14.41,1.02,0.15,0.15
2025-01-01,7,15.40,35.34,35.34,35.34,1.22,0.16,0.16
2025-01-01,8,35.34,36.43,36.63,35.34,1.22,0.75,0.75
2025-01-01,9,21.11,35.34,35.34,33.96,1.51,1.51,1.51
2025-01-01,10,15.71,34.61,34.61,31.98,29.75,29.75,29.75
2025-01-01,11,30.79,30.00,30.00,30.83,29.81,29.81,29.79
2025-01-01,12,14.36,65.00,40.41,35.94,22.04,22.04,22.04
2025-01-01,13,14.37,40.34,40.06,37.58,3.88,3.88,3.88
2025-01-01,14,14.37,38.34,40.00,40.00,29.75,29.75,29.75
2025-01-01,15,37.55,40.00,40.51,38.34,2.90,2.90,1.14
2025-01-01,16,41.31,41.59,42.39,40.84,2.78,2.78,0.94
2025-01-01,17,41.80,43.23,43.45,42.40,7.42,7.42,1.40
2025-01-01,18,40.13,65.00,50.00,44.88,13.36,13.36,0.75
2025-01-01,19,67.22,43.71,45.00,43.45,22.63,22.63,22.52
2025-01-01,20,42.79,41.48,41.48,43.44,7.15,7.15,7.15
2025-01-01,21,41.46,43.20,41.09,41.27,7.83,7.83,2.13
2025-01-01,22,39.71,40.40,40.34,40.40,2.33,2.00,2.00
2025-01-01,23,45.84,40.42,40.42,40.41,1.72,1.15,1.15
2025-01-01,24,14.35,39.10,39.06,39.06,1.11,0.72,0.72
2025-01-02,1,14.30,34.84,34.84,40.34,1.50,0.18,0.18
2025-01-02,2,14.74,21.75,25.65,38.96,1.29,0.22,0.22
2025-01-02,3,14.36,24.84,25.65,35.94,1.16,0.17,0.17
2025-01-02,4,14.33,23.75,14.38,18.75,1.25,0.16,0.16
2025-01-02,5,14.28,35.91,35.91,35.91,1.27,0.19,0.19
2025-01-02,6,12.21,40.39,40.39,40.40,1.01,0.22,0.22
2025-01-02,7,36.44,43.65,43.65,43.65,4.29,4.29,4.29
2025-01-02,8,42.03,43.54,43.54,43.70,7.61,7.61,5.99
