Column Name,Definition,Definition,Source,,
Datetime,Time Series Column,,NA,,
Toronto Demand,Toronto Zonal Demand,,https://reports-public.ieso.ca/public/DemandZonal/,,
Ontario Supply (MW),Ontario Generator Output,,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510001501&pickMembers%5B0%5D=1.7&pickMembers%5B1%5D=2.1&cubeTimeFrame.startMonth=01&cubeTimeFrame.startYear=2008&cubeTimeFrame.endMonth=06&cubeTimeFrame.endYear=2025&referencePeriods=20080101%2C20250601,https://www.ieso.ca/Power-Data/Data-Directory#Generator%20Output%20and%20Capability%20Report,https://reports-public.ieso.ca/public/GenOutputbyFuelHourly/
Price,Toronto Nodal Price,,https://reports-public.ieso.ca/public/PriceNodal/,,
Gas Price,Henry Hub Natural Gas Spot Price (Dollars per Million Btu),,https://www.google.com/url?q=https://www.eia.gov/dnav/ng/hist/rngwhhdD.htm&sa=D&source=docs&ust=1753666156265346&usg=AOvVaw08m0HJXivou0byEoY9x29Q,,
Temperature,Daily average temperature (Degree Celsius),,https://www.weatherstats.ca/,,
Relative Humidity,Percentage of how much moisture (water vapor) is in the air relative to the maximum amount the air could hold at that temperature,,https://www.weatherstats.ca/,,
Wind Speed,Average wind speed (km/h),,https://www.weatherstats.ca/,,
HDD 15.5,Heating demand formula: 15.5 - DAT if DAT <= 15.5 else 0,DAT: Daily average temperatire. Base on station ID: CYYZ (Toronto Pearson International Airport),https://www.degreedays.net/#generate2,,
CDD 15.5,Cooling demand formula: DAT - 15.5 if DAT >= 15.5 else 0,DAT: Daily average temperatire. Base on station ID: CYYZ (Toronto Pearson International Airport),https://www.degreedays.net/#generate2,,
HDD 18,Heating demand formula: 15.5 - DAT if DAT <= 18 else 0,DAT: Daily average temperatire. Base on station ID: CYYZ (Toronto Pearson International Airport),https://www.weatherstats.ca/,,
CDD 18,Cooling demand formula: DAT - 15.5 if DAT >= 18 else 0,DAT: Daily average temperatire. Base on station ID: CYYZ (Toronto Pearson International Airport),https://www.weatherstats.ca/,,
Precipitation (mm),Precipitation Amount (in mm),,https://www.weatherstats.ca/,,
Dew Point,The dew point is the temperature the air needs to be cooled to (at constant pressure) in order to achieve a relative humidity (RH) of 100%. At this point the air cannot hold more water in the gas form.,,https://www.weatherstats.ca/,,
Sea Level Pressure,Sea level pressure is?the atmospheric pressure at sea level (in kPa),,https://www.weatherstats.ca/,,
Year,Dervied from Datetime,,NA,,
Month,Dervied from Datetime,,NA,,
Day,Dervied from Datetime,,NA,,
