"REF_DATE","GEO","DGUID","Electric power, components","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002-05","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12170260","","r","","0"
"2002-06","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12471743","","r","","0"
"2002-07","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13557282","","r","","0"
"2002-08","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12794517","","r","","0"
"2002-09","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11807346","","r","","0"
"2002-10","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12113852","","r","","0"
"2002-11","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12227747","","r","","0"
"2002-12","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13198322","","r","","0"
"2003-01","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14602074","","r","","0"
"2003-02","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12762882","","r","","0"
"2003-03","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12934323","","r","","0"
"2003-04","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11800921","","r","","0"
"2003-05","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11686489","","r","","0"
"2003-06","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11793037","","r","","0"
"2003-07","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13492336","","r","","0"
"2003-08","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12620717","","r","","0"
"2003-09","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11416232","","r","","0"
"2003-10","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11487619","","r","","0"
"2003-11","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12273140","","r","","0"
"2003-12","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13193598","","r","","0"
"2004-01","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14658800","","r","","0"
"2004-02","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12940977","","r","","0"
"2004-03","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13412793","","r","","0"
"2004-04","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12436173","","r","","0"
"2004-05","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12873653","","r","","0"
"2004-06","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12694735","","r","","0"
"2004-07","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13427050","","r","","0"
"2004-08","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13505900","","r","","0"
"2004-09","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11941284","","r","","0"
"2004-10","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11994005","","r","","0"
"2004-11","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12122534","","r","","0"
"2004-12","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14000423","","r","","0"
"2005-01","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14862235","","r","","0"
"2005-02","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13209776","","r","","0"
"2005-03","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13977644","","r","","0"
"2005-04","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11626388","","r","","0"
"2005-05","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12019538","","r","","0"
"2005-06","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13410355","","r","","0"
"2005-07","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13786542","","r","","0"
"2005-08","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13950705","","r","","0"
"2005-09","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12527592","","r","","0"
"2005-10","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12225733","","r","","0"
"2005-11","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12788900","","r","","0"
"2005-12","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14136708","","r","","0"
"2006-01","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14202355","","","","0"
"2006-02","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13420218","","","","0"
"2006-03","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14011021","","","","0"
"2006-04","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12679163","","","","0"
"2006-05","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12527778","","","","0"
"2006-06","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12889882","","","","0"
"2006-07","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14298479","","","","0"
"2006-08","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14107117","","","","0"
"2006-09","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12042879","","","","0"
"2006-10","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12635264","","r","","0"
"2006-11","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11874148","","r","","0"
"2006-12","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13204242","","","","0"
"2007-01","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","14196242","","r","","0"
"2007-02","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13904990","","r","","0"
"2007-03","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13509269","","r","","0"
"2007-04","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12805451","","r","","0"
