"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-01","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","14870199","","","","0"
"2008-02","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","13850896","","","","0"
"2008-03","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","13723104","","","","0"
"2008-04","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","12678291","","","","0"
"2008-05","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","12481142","","","","0"
"2008-06","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","13192192","","","","0"
"2008-07","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","14390793","","","","0"
"2008-08","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","13792514","","","","0"
"2008-09","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","12301574","","","","0"
"2008-10","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","12337737","","","","0"
"2008-11","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","12179895","","","","0"
"2008-12","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","13722325","","","","0"
"2009-01","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","14545047","","","","0"
"2009-02","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","12249895","","","","0"
"2009-03","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174769","7.1.1","13035258","","","","0"
