Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,58.2,68,30.15,118.75,36.7 ,41.0 ,68.2 ,111.7 ,29.1 ,74.1 ,47.4 ,117.9 ,95.2 ,31.4 ,57.0 ,126.8 ,35.8 ,94.0 ,29.8 ,111.5 ,58.6 ,48.2 ,30.5 ,76.8 ,119.6 ,64.5 ,56.0 ,74.0 
1951,113.5,74,31.45,129.45,50.3 ,46.3 ,72.1 ,54.3 ,61.1 ,71.9 ,74.3 ,86.8 ,102.1 ,134.9 ,93.3 ,46.9 ,107.5 ,78.9 ,128.5 ,54.4 ,26.3 ,47.8 ,130.4 ,70.4 ,36.6 ,26.2 ,116.4 ,64.2 
1952,64.9,69,25.55,112.1,96.6 ,34.9 ,73.4 ,19.6 ,112.2 ,62.4 ,75.6 ,43.6 ,85.8 ,112.7 ,31.0 ,80.0 ,112.0 ,74.6 ,62.9 ,78.4 ,64.6 ,57.4 ,47.0 ,66.7 ,91.6 ,67.3 ,105.6 ,20.1 
1953,60.4,86,46.95,137.8,49.5 ,76.1 ,139.7 ,50.7 ,114.6 ,124.3 ,75.9 ,124.5 ,44.4 ,139.7 ,52.2 ,37.0 ,131.8 ,135.9 ,73.2 ,116.7 ,71.7 ,85.4 ,64.1 ,90.3 ,72.5 ,62.4 ,60.6 ,81.0 
1954,100.5,60,23.25,106.9,53.1 ,34.1 ,21.4 ,25.1 ,64.0 ,85.9 ,119.6 ,25.8 ,59.6 ,73.7 ,87.9 ,51.8 ,37.7 ,107.0 ,52.6 ,14.3 ,67.7 ,49.2 ,51.5 ,42.8 ,106.8 ,80.8 ,92.2 ,35.9 
1955,72,63,29.6,90.3,77.2 ,77.5 ,70.1 ,41.6 ,67.0 ,17.3 ,68.4 ,68.3 ,50.8 ,51.1 ,51.7 ,39.0 ,76.2 ,87.2 ,90.2 ,33.5 ,42.8 ,51.6 ,84.0 ,140.7 ,59.4 ,50.9 ,90.4 ,25.7 
1956,91.7,68,39.2,103.1,58.7 ,61.6 ,53.5 ,104.4 ,43.8 ,43.9 ,53.6 ,69.8 ,50.2 ,37.1 ,40.9 ,70.5 ,93.6 ,103.5 ,101.6 ,61.6 ,87.5 ,82.9 ,51.2 ,37.5 ,88.8 ,92.5 ,102.7 ,53.1 
1957,73.1,74,38.7,109.4,65.2 ,72.7 ,86.9 ,65.1 ,74.5 ,109.4 ,39.6 ,84.0 ,93.9 ,78.9 ,74.8 ,109.4 ,35.9 ,87.4 ,78.7 ,107.7 ,57.8 ,54.5 ,87.4 ,70.1 ,121.3 ,37.8 ,40.1 ,46.5 
1958,47.5,79,33.8,152.05,24.6 ,104.1 ,84.0 ,62.6 ,71.7 ,48.5 ,121.8 ,45.4 ,52.4 ,51.5 ,62.5 ,60.3 ,50.1 ,25.9 ,130.9 ,173.4 ,116.6 ,105.3 ,41.7 ,85.1 ,54.7 ,69.5 ,88.0 ,173.2 
1959,73.7,88,43.55,148.15,58.5 ,93.2 ,40.8 ,139.2 ,36.2 ,106.6 ,78.0 ,167.2 ,112.0 ,71.0 ,103.3 ,94.7 ,47.3 ,122.0 ,77.2 ,50.0 ,81.9 ,155.4 ,61.9 ,140.9 ,82.6 ,88.8 ,46.3 ,79.1 
1960,74.1,82,29.65,129.25,143.1 ,91.3 ,109.5 ,83.2 ,24.2 ,96.4 ,80.2 ,49.3 ,79.6 ,134.5 ,35.1 ,67.2 ,87.7 ,93.6 ,20.5 ,71.0 ,42.3 ,119.0 ,91.3 ,111.3 ,61.0 ,63.1 ,96.4 ,124.0 
1961,88.4,72,33.4,102.7,37.4 ,75.6 ,49.8 ,45.8 ,84.8 ,83.6 ,95.5 ,75.3 ,87.8 ,69.9 ,88.5 ,29.4 ,40.7 ,60.0 ,103.8 ,101.6 ,26.3 ,50.7 ,92.6 ,68.7 ,67.3 ,42.0 ,164.0 ,88.8 
1962,37.5,71,28.45,118.25,77.1 ,84.4 ,79.1 ,2.9 ,75.4 ,87.0 ,63.7 ,62.7 ,95.4 ,126.3 ,59.6 ,26.1 ,91.4 ,64.4 ,30.8 ,130.2 ,110.2 ,79.1 ,81.8 ,77.1 ,50.8 ,54.5 ,51.4 ,49.6 
1963,67.8,62,32.05,95.5,37.6 ,85.9 ,35.7 ,56.4 ,62.1 ,97.4 ,48.0 ,41.1 ,76.3 ,73.8 ,74.6 ,40.9 ,69.3 ,28.4 ,124.3 ,74.2 ,93.6 ,51.2 ,66.6 ,55.2 ,49.1 ,75.6 ,15.1 ,66.0 
1964,78.1,73,29.2,124.25,139.5 ,43.0 ,82.9 ,69.4 ,51.3 ,62.9 ,58.6 ,68.8 ,30.9 ,159.8 ,66.0 ,102.9 ,74.2 ,67.9 ,95.1 ,109.0 ,94.3 ,18.9 ,31.1 ,56.9 ,96.4 ,101.2 ,54.0 ,27.5 
1965,63.4,87,45.95,128.65,111.9 ,91.4 ,111.9 ,37.2 ,61.2 ,122.9 ,89.4 ,134.4 ,99.7 ,91.2 ,70.5 ,89.7 ,41.7 ,50.2 ,59.1 ,60.2 ,96.8 ,73.4 ,58.8 ,91.4 ,90.8 ,144.6 ,109.9 ,109.4 
1966,40,75,38.45,106.95,26.9 ,48.3 ,66.2 ,64.7 ,133.1 ,59.7 ,98.2 ,100.1 ,85.7 ,56.4 ,36.4 ,50.8 ,105.2 ,91.0 ,74.5 ,40.5 ,105.2 ,60.4 ,74.7 ,61.4 ,91.7 ,108.7 ,73.8 ,91.7 
1967,74.1,80,40.75,116.7,43.6 ,128.7 ,84.9 ,98.3 ,104.7 ,149.9 ,96.1 ,48.3 ,79.6 ,92.9 ,37.9 ,94.4 ,97.0 ,52.1 ,91.9 ,94.6 ,57.2 ,74.1 ,71.4 ,93.7 ,53.8 ,57.3 ,36.6 ,101.3 
1968,29.7,68,33.25,110.1,72.3 ,138.6 ,56.0 ,55.6 ,113.1 ,93.2 ,77.2 ,76.3 ,36.3 ,6.8 ,69.3 ,56.8 ,51.1 ,48.0 ,51.3 ,46.7 ,43.9 ,103.5 ,90.6 ,107.1 ,30.2 ,78.9 ,47.7 ,96.8 
1969,76.4,69,31.6,100.9,95.7 ,104.1 ,60.5 ,19.6 ,66.2 ,56.0 ,37.8 ,58.1 ,59.5 ,81.0 ,81.7 ,92.3 ,25.4 ,69.5 ,98.6 ,83.4 ,71.0 ,76.5 ,47.1 ,42.1 ,94.1 ,103.2 ,88.4 ,63.3 
1970,62.2,79,38.5,121.85,75.7 ,165.0 ,61.8 ,108.6 ,54.8 ,84.1 ,64.0 ,31.0 ,82.3 ,39.5 ,37.5 ,61.9 ,107.5 ,95.2 ,84.3 ,77.5 ,42.7 ,115.0 ,91.6 ,128.7 ,45.8 ,96.8 ,73.6 ,75.4 
1971,24.9,65,36.05,93.15,37.4 ,89.3 ,43.3 ,79.6 ,53.4 ,51.2 ,60.4 ,23.4 ,73.7 ,34.7 ,47.0 ,60.2 ,54.6 ,94.3 ,83.0 ,51.0 ,60.2 ,67.6 ,67.8 ,80.6 ,92.0 ,74.4 ,79.5 ,104.4 
1972,68.5,66,31.35,103.3,68.4 ,101.8 ,88.3 ,52.5 ,54.1 ,74.5 ,29.2 ,78.5 ,36.4 ,69.3 ,104.8 ,43.3 ,101.7 ,33.5 ,50.1 ,126.1 ,80.0 ,41.8 ,56.7 ,37.3 ,28.6 ,50.5 ,96.4 ,86.2 
1973,58.8,74,36.25,130.2,56.4 ,66.3 ,130.8 ,66.1 ,37.5 ,43.6 ,69.2 ,129.6 ,65.0 ,51.7 ,69.8 ,65.1 ,91.4 ,174.1 ,82.9 ,25.7 ,77.8 ,118.8 ,35.4 ,44.4 ,86.3 ,37.1 ,52.9 ,113.8 
1974,67.5,72,42.2,117.55,41.4 ,47.7 ,123.6 ,64.0 ,60.9 ,91.8 ,90.4 ,68.7 ,57.8 ,129.4 ,72.3 ,68.5 ,66.2 ,63.4 ,82.1 ,63.3 ,43.0 ,86.1 ,111.5 ,56.8 ,64.7 ,61.4 ,37.2 ,97.8 
1975,56.1,65,31.7,114.45,41.7 ,73.9 ,106.2 ,62.3 ,84.2 ,58.3 ,80.7 ,43.5 ,54.5 ,24.2 ,28.0 ,71.7 ,42.1 ,93.7 ,135.5 ,122.7 ,47.1 ,66.9 ,66.8 ,70.4 ,67.4 ,41.7 ,35.4 ,51.5 
1976,75.9,79,40.6,122.85,77.1 ,77.7 ,41.4 ,83.6 ,99.6 ,131.4 ,86.2 ,114.3 ,73.2 ,83.2 ,39.8 ,47.8 ,85.7 ,91.5 ,51.3 ,54.4 ,22.9 ,99.1 ,89.9 ,42.5 ,63.1 ,83.1 ,147.6 ,110.5 
