Year,January,February,March,April,May,June,July,August,September,October,November,December
1950,53,55,65,68,74,65,63,80,72,70,85,67
1951,59,65,49,74,75,73,55,79,85,68,80,69
1952,69,45,67,69,69,66,70,78,75,60,84,62
1953,71,53,57,86,74,66,63,83,67,65,75,75
1954,52,52,68,60,72,64,80,74,74,60,61,72
1955,63,42,58,63,71,65,70,78,79,58,56,64
1956,60,51,54,68,65,65,60,88,64,67,75,66
1957,58,46,55,74,66,64,63,81,66,57,75,66
1958,75,51,51,79,77,62,72,75,82,64,81,57
1959,54,47,60,88,79,62,58,82,83,82,81,64
1960,57,70,44,82,64,71,61,82,70,78,70,79
1961,61,47,60,72,67,64,52,88,70,73,70,72
1962,62,58,62,71,71,75,64,69,77,59,74,73
1963,64,59,52,62,77,74,63,64,70,61,65,63
1964,62,51,53,73,63,58,64,71,75,73,75,59
1965,62,54,51,87,76,71,60,71,77,66,79,63
1966,65,43,71,75,75,79,65,62,72,66,71,68
1967,61,56,53,80,71,56,66,78,74,62,72,69
1968,53,54,55,68,66,72,59,81,88,72,73,74
1969,65,55,52,69,71,68,74,77,76,76,80,67
1970,56,49,54,79,73,65,60,59,67,59,78,68
1971,50,48,55,65,85,69,67,73,77,58,73,60
1972,60,48,53,66,65,66,64,75,76,58,73,91
1973,54,56,51,74,73,62,83,80,62,75,74,76
1974,66,52,54,72,72,54,59,75,74,62,59,74
1975,63,45,58,65,63,71,55,83,75,78,75,70
1976,58,56,52,79,70,56,66,59,76,64,74,63
1977,53,60,58,74,68,60,74,74,82,70,78,63
1978,53,51,56,72,73,57,69,74,65,59,68,66
1979,57,55,53,78,66,69,67,72,80,62,77,67
1980,61,56,52,75,74,59,60,85,67,66,69,66
1981,55,55,66,70,74,51,44,70,65,52,76,73
1982,71,52,67,67,73,65,71,82,77,61,80,59
1983,56,56,66,67,74,65,65,69,78,65,82,75
1984,58,46,49,66,69,67,68,65,64,67,74,63
1985,57,50,58,72,67,63,59,83,71,61,76,63
1986,56,51,64,78,68,77,57,63,82,66,68,73
1987,57,60,68,67,86,73,68,73,89,76,77,81
1988,63,53,71,69,82,60,62,77,83,66,65,71
1989,63,65,56,67,71,68,62,80,65,60,80,70
1990,65,45,53,90,82,77,61,68,91,71,89,77
1991,69,55,64,66,70,66,54,74,74,67,70,69
1992,57,48,51,77,70,60,61,75,76,78,69,72
1993,59,53,50,79,67,65,58,70,80,68,72,67
1994,51,56,69,71,81,57,66,77,78,61,65,67
1995,59,48,49,77,67,73,53,63,68,64,84,71
1996,53,50,63,76,61,62,65,70,75,71,80,70
1997,55,49,63,73,90,78,52,79,76,63,79,68
1998,62,45,62,75,72,71,69,78,74,62,77,71
1999,60,54,64,78,83,69,59,76,77,70,70,83
2000,65,55,53,72,80,65,54,85,76,73,85,70
2001,69,52,61,71,76,88,61,81,84,70,80,76
2002,67,59,62,67,74,70,63,78,72,68,72,81
2003,75,56,52,78,65,73,57,71,76,63,81,80
2004,61,45,58,81,71,70,72,70,71,58,92,64
2005,62,53,58,73,82,75,68,77,66,74,87,68
2006,54,56,55,86,80,75,48,70,81,59,65,70
2007,66,60,62,67,76,85,68,76,69,75,79,63
2008,61,64,73,89,81,81,69,78,78,59,77,64
2009,66,54,57,78,73,71,57,73,78,70,82,77
2010,57,59,66,77,76,66,70,67,76,68,90,74
2011,60,59,67,81,64,74,65,82,65,64,82,78
2012,61,63,67,70,75,67,62,85,83,65,91,76
2013,61,64,57,69,73,67,59,80,78,73,79,77
2014,55,58,70,69,64,62,60,77,82,58,69,71
2015,62,61,69,69,74,61,57,78,77,81,65,68
2016,68,58,57,73,80,79,54,68,80,73,78,82
2017,60,56,52,77,74,67,65,84,75,60,72,72
2018,69,66,61,79,72,70,69,68,79,61,76,67
2019,72,70,62,80,78,72,53,69,65,53,88,75
2020,56,56,66,69,80,70,63,73,78,64,83,63
2021,64,57,57,81,85,77,62,76,67,79,93,65
2022,66,61,64,85,72,74,69,68,66,69,74,80
2023,66,60,62,76,63,65,58,64,69,62,83,63
2024,69,65,48,81,80,61,76,94,78,79,87,82
2025,59,62,61,86,82,76,61,73,77,67,90,73
2026,62,58,63,83,75,68,72,84,67,67,80,83
2027,59,64,56,79,81,75,63,66,81,73,84,74
2028,63,57,65,86,79,71,64,73,70,73,80,74
2029,72,63,73,78,84,61,59,60,72,75,83,74
2030,61,64,61,75,78,64,70,72,78,70,73,82
2031,66,58,66,83,82,68,54,79,78,66,78,75
