Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,211.6,229,158.35,325.4,285.6 ,194.4 ,205.7 ,173.0 ,202.5 ,242.2 ,220.0 ,250.1 ,157.0 ,312.9 ,337.9 ,182.0 ,245.0 ,304.1 ,256.8 ,286.7 ,249.5 ,159.7 ,177.2 ,161.2 ,159.7 ,135.0 ,357.9 ,244.0 
1951,198.1,234,170.9,337.65,180.4 ,186.0 ,468.7 ,276.8 ,280.4 ,215.8 ,233.1 ,363.7 ,235.5 ,207.6 ,237.2 ,196.1 ,183.2 ,205.7 ,251.8 ,245.0 ,186.9 ,215.2 ,219.4 ,193.8 ,260.9 ,106.7 ,311.6 ,161.4 
1952,165.4,220,129.3,285.25,251.4 ,278.3 ,250.5 ,220.3 ,241.8 ,186.1 ,279.6 ,248.4 ,201.5 ,218.7 ,135.4 ,232.0 ,294.6 ,187.5 ,239.1 ,260.6 ,230.9 ,159.8 ,218.6 ,123.2 ,226.9 ,202.5 ,104.4 ,290.9 
1953,164.3,208,134.05,278.6,177.5 ,177.8 ,233.1 ,187.6 ,193.9 ,161.8 ,204.1 ,135.5 ,247.3 ,284.6 ,132.6 ,265.4 ,223.0 ,216.1 ,195.4 ,203.4 ,273.2 ,272.0 ,149.6 ,183.8 ,247.2 ,126.7 ,226.1 ,284.0 
1954,298.7,196,128.4,271.05,187.6 ,231.2 ,140.7 ,283.0 ,241.4 ,259.1 ,182.0 ,193.7 ,172.4 ,148.5 ,248.2 ,198.3 ,93.4 ,236.3 ,175.8 ,156.6 ,130.7 ,245.6 ,183.4 ,134.5 ,243.1 ,202.4 ,295.4 ,126.1 
1955,249.1,194,124.7,299.8,248.3 ,161.0 ,324.3 ,234.8 ,202.6 ,189.0 ,134.3 ,190.0 ,174.3 ,189.9 ,187.7 ,179.4 ,115.1 ,292.1 ,307.5 ,145.7 ,100.2 ,210.7 ,179.4 ,227.6 ,141.7 ,204.0 ,167.3 ,151.3 
1956,111.6,207,123.35,293.6,312.2 ,217.1 ,116.6 ,215.2 ,242.3 ,184.7 ,121.2 ,258.4 ,132.6 ,125.5 ,262.5 ,142.1 ,439.0 ,154.8 ,247.8 ,176.3 ,171.5 ,182.7 ,201.0 ,249.8 ,213.9 ,207.1 ,275.0 ,127.9 
1957,206.4,199,123.55,250.8,239.0 ,241.8 ,154.6 ,234.6 ,325.8 ,196.7 ,113.0 ,105.4 ,134.1 ,206.9 ,240.7 ,226.1 ,193.3 ,177.8 ,187.4 ,149.2 ,200.9 ,259.8 ,232.1 ,146.9 ,231.5 ,240.8 ,210.4 ,138.9 
1958,217.8,227,142.75,342.95,210.2 ,265.2 ,203.9 ,174.4 ,195.9 ,206.4 ,225.0 ,111.1 ,336.0 ,223.4 ,195.2 ,270.4 ,191.0 ,81.0 ,228.8 ,371.3 ,349.9 ,295.3 ,200.1 ,200.1 ,272.2 ,212.3 ,211.1 ,236.9 
1959,231.2,247,175.3,357.9,234.3 ,251.6 ,197.9 ,424.6 ,279.0 ,260.3 ,191.8 ,336.8 ,215.3 ,210.1 ,245.5 ,289.8 ,250.7 ,206.2 ,331.7 ,207.6 ,228.7 ,217.9 ,267.1 ,113.0 ,225.7 ,379.0 ,158.8 ,214.6 
