Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,166.3,208,145.7,264.1,148.8 ,235.2 ,253.2 ,201.9 ,216.4 ,212.3 ,192.1 ,259.3 ,191.1 ,170.9 ,190.7 ,213.3 ,142.6 ,195.5 ,131.3 ,336.4 ,188.2 ,211.1 ,173.9 ,263.1 ,265.1 ,254.3 ,161.4 ,200.9 
1951,272.3,201,150.15,276.05,158.3 ,167.1 ,197.2 ,112.9 ,165.7 ,196.2 ,152.2 ,208.4 ,260.5 ,224.0 ,212.7 ,183.5 ,270.4 ,234.1 ,247.2 ,178.0 ,185.3 ,172.0 ,329.2 ,148.1 ,159.5 ,157.3 ,281.7 ,222.6 
1952,238.6,208,154.1,280.95,288.7 ,144.7 ,210.7 ,168.6 ,285.9 ,172.6 ,276.0 ,187.2 ,231.3 ,272.1 ,158.6 ,222.1 ,200.0 ,169.7 ,191.5 ,220.5 ,206.5 ,211.8 ,166.7 ,149.6 ,197.8 ,228.8 ,265.6 ,164.6 
1953,269.4,220,174.65,273.3,245.5 ,235.7 ,211.9 ,259.5 ,287.1 ,297.7 ,224.5 ,246.9 ,142.2 ,247.1 ,176.9 ,172.9 ,223.6 ,254.0 ,227.9 ,230.7 ,192.5 ,188.3 ,190.5 ,251.6 ,176.4 ,183.5 ,200.3 ,229.1 
1954,205.3,202,137.5,271.8,183.5 ,235.7 ,131.9 ,175.9 ,170.4 ,277.5 ,304.3 ,161.3 ,239.2 ,215.6 ,266.1 ,216.8 ,203.0 ,205.6 ,107.8 ,160.8 ,211.2 ,143.1 ,196.4 ,179.2 ,229.0 ,179.9 ,242.5 ,219.0 
1955,203.5,195,148.55,244.2,191.6 ,182.0 ,199.4 ,158.6 ,166.7 ,149.3 ,238.2 ,204.9 ,196.3 ,174.7 ,184.8 ,214.9 ,225.0 ,223.3 ,171.1 ,219.8 ,243.5 ,120.5 ,199.1 ,315.7 ,244.9 ,147.8 ,158.7 ,154.5 
1956,277.1,189,122.45,247.55,187.4 ,175.6 ,225.8 ,204.3 ,159.0 ,143.6 ,159.8 ,236.3 ,101.3 ,180.7 ,168.6 ,283.5 ,206.9 ,251.1 ,242.9 ,145.5 ,162.0 ,206.9 ,188.3 ,97.7 ,244.0 ,186.9 ,162.5 ,228.3 
1957,195.5,197,123.25,251.9,219.5 ,213.0 ,194.0 ,188.8 ,204.5 ,213.4 ,105.1 ,215.2 ,301.2 ,238.8 ,209.6 ,220.8 ,183.5 ,167.8 ,128.1 ,206.3 ,208.9 ,128.0 ,204.3 ,219.7 ,265.0 ,195.4 ,118.5 ,178.4 
1958,96.8,209,122.35,312.05,111.8 ,227.8 ,146.5 ,259.8 ,204.4 ,145.7 ,248.9 ,132.9 ,109.3 ,231.3 ,253.9 ,142.6 ,294.3 ,135.4 ,323.2 ,349.4 ,239.1 ,201.1 ,173.2 ,210.9 ,179.8 ,196.6 ,217.3 ,300.9 
1959,200.7,232,154.25,305.25,140.0 ,215.2 ,179.8 ,244.5 ,194.4 ,270.6 ,265.9 ,294.8 ,236.7 ,181.9 ,279.9 ,231.0 ,163.2 ,311.9 ,221.5 ,145.3 ,339.1 ,298.6 ,247.0 ,268.1 ,218.4 ,218.8 ,182.2 ,229.5 
