Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,213.5,209,133.35,304.85,121.9 ,148.4 ,181.2 ,203.0 ,151.3 ,195.5 ,230.5 ,221.3 ,109.6 ,251.1 ,209.1 ,236.7 ,303.4 ,186.0 ,211.0 ,375.9 ,271.7 ,258.0 ,147.6 ,144.8 ,170.0 ,180.6 ,208.9 ,306.3 
1951,233,207,119.5,300.35,210.1 ,155.0 ,280.2 ,313.0 ,197.1 ,233.8 ,148.4 ,234.1 ,120.0 ,274.2 ,177.0 ,219.0 ,161.9 ,236.6 ,245.6 ,138.4 ,92.8 ,264.0 ,287.7 ,131.6 ,146.8 ,119.0 ,320.6 ,276.7 
1952,162.9,215,151.1,323.8,219.6 ,271.7 ,309.2 ,197.1 ,156.4 ,229.5 ,186.4 ,215.4 ,267.8 ,358.5 ,207.5 ,194.4 ,132.1 ,338.4 ,215.8 ,189.3 ,202.5 ,164.6 ,147.5 ,255.4 ,201.8 ,154.7 ,170.1 ,182.2 
1953,168.8,214,132.5,310.9,247.0 ,195.8 ,141.7 ,219.2 ,255.9 ,134.7 ,208.6 ,318.8 ,154.2 ,234.0 ,303.0 ,282.2 ,191.6 ,213.1 ,178.1 ,101.7 ,146.0 ,147.0 ,155.1 ,267.0 ,291.7 ,282.8 ,130.3 ,336.3 
1954,192.7,219,146.6,322.4,291.9 ,170.2 ,460.9 ,148.3 ,205.3 ,212.1 ,101.0 ,158.0 ,278.8 ,200.9 ,171.4 ,221.4 ,167.6 ,317.8 ,213.3 ,246.3 ,327.0 ,199.5 ,202.0 ,176.7 ,261.4 ,168.0 ,220.9 ,144.9 
1955,199.6,214,152.8,277.8,213.2 ,235.9 ,121.5 ,201.2 ,149.5 ,219.5 ,221.7 ,246.9 ,189.6 ,209.2 ,251.5 ,191.7 ,197.8 ,240.4 ,288.6 ,156.1 ,207.1 ,262.5 ,159.5 ,267.0 ,186.1 ,211.4 ,221.9 ,292.1 
1956,267.9,215,149.3,309.25,152.0 ,317.9 ,190.0 ,301.4 ,199.2 ,224.8 ,208.3 ,216.9 ,139.7 ,243.4 ,202.2 ,146.6 ,236.0 ,183.0 ,158.9 ,181.0 ,300.5 ,252.3 ,221.7 ,165.0 ,251.3 ,317.1 ,159.9 ,202.3 
1957,169.8,209,121.2,283.35,249.6 ,179.5 ,200.6 ,191.2 ,282.1 ,288.6 ,213.2 ,284.6 ,166.6 ,178.7 ,217.0 ,216.0 ,234.9 ,198.6 ,278.5 ,226.2 ,226.3 ,59.3 ,198.2 ,203.3 ,97.0 ,259.5 ,224.4 ,145.4 
1958,190.6,210,134.55,295.65,244.3 ,139.7 ,166.0 ,334.4 ,200.2 ,238.7 ,215.7 ,121.4 ,294.7 ,243.1 ,169.5 ,206.3 ,296.6 ,136.8 ,171.2 ,235.2 ,274.1 ,180.4 ,215.4 ,191.6 ,285.6 ,167.4 ,198.0 ,132.3 
1959,111.7,203,144.3,267.8,182.6 ,194.7 ,133.4 ,151.8 ,259.5 ,273.8 ,178.7 ,261.8 ,212.9 ,187.0 ,208.0 ,136.8 ,183.2 ,156.5 ,199.8 ,178.4 ,192.8 ,242.0 ,313.0 ,189.8 ,244.0 ,205.2 ,170.0 ,236.9 
1960,190.6,216,133.15,329.45,173.0 ,175.4 ,125.2 ,223.7 ,141.1 ,227.5 ,211.1 ,158.9 ,443.3 ,205.8 ,249.3 ,171.1 ,224.0 ,161.6 ,242.7 ,337.7 ,264.6 ,190.8 ,120.5 ,277.2 ,188.9 ,172.4 ,321.2 ,180.2 
1961,227.8,205,121.9,297.05,211.3 ,165.5 ,117.6 ,126.2 ,288.7 ,93.1 ,158.9 ,165.9 ,252.4 ,186.6 ,192.4 ,195.5 ,223.3 ,187.4 ,296.6 ,263.2 ,139.9 ,150.0 ,297.5 ,375.7 ,178.6 ,218.1 ,243.4 ,191.0 
1962,203.9,209,166.1,277.45,266.9 ,151.6 ,209.7 ,203.5 ,225.0 ,160.8 ,200.5 ,184.6 ,186.2 ,171.4 ,238.7 ,182.2 ,200.9 ,217.6 ,231.5 ,182.5 ,191.1 ,288.0 ,179.6 ,239.0 ,218.4 ,328.7 ,173.3 ,184.9 
1963,177.1,201,127.4,292.8,175.4 ,251.6 ,357.0 ,181.3 ,184.5 ,121.5 ,204.9 ,244.0 ,146.7 ,268.4 ,132.0 ,271.6 ,274.9 ,233.6 ,307.3 ,127.8 ,132.9 ,278.3 ,151.8 ,143.7 ,219.9 ,176.4 ,127.0 ,128.9 
1964,287,193,111.65,289.8,249.9 ,150.3 ,214.2 ,187.7 ,153.7 ,218.0 ,185.9 ,116.7 ,308.9 ,195.0 ,221.4 ,181.8 ,106.6 ,152.4 ,305.7 ,273.9 ,167.3 ,70.8 ,262.5 ,218.0 ,194.5 ,183.0 ,166.3 ,168.6 
1965,208.5,204,104.5,291.8,126.4 ,241.2 ,285.4 ,182.5 ,100.6 ,130.9 ,108.4 ,224.5 ,291.6 ,177.6 ,159.8 ,218.1 ,257.1 ,346.2 ,271.0 ,178.3 ,223.5 ,88.2 ,187.3 ,292.0 ,259.7 ,125.4 ,195.3 ,232.5 
